tweet_id,text,created_at,author_id,retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count
1749559056635699409,"昨日からの日課
逆ギフテッドりゅうのツイートを見て自己肯定感とやる気を高める",2024-01-22 22:25:58+00:00,1720384250154024960,0,1,3,1,0,306
1749553728053780603,"とかなんとか言いつつ毎回なんだかんだやり切る俺は偉過ぎるし職場仲間がいい人達過ぎる〜
†ギフテッド†だわ",2024-01-22 22:04:48+00:00,1370755816039489542,0,0,2,0,0,109
1749540460304138668,@haruka_8649 志希も色々あって両親とギクシャクしてて親の愛情を求めて代償みたいにぬいぐるみに頼ってる仁奈をおそらく1番理解してる。もちろんギフテッドの観察力と知識もあるけど、なにより志希は他人に優しく年齢や能力で人を低く見ることがない。,2024-01-22 21:12:05+00:00,67576459,0,1,5,0,0,786
1749535853855326680,【ギフテッド】「失敗だった」 “ギフテッド教育”実践校の挫折と教訓とは？ : 常識的に考えた https://t.co/yeg6ZIMlpg,2024-01-22 20:53:47+00:00,3067777777,2,0,6,0,0,731
1750128484431913115,"貴久の名前のROOTSにそんな素敵なエピソードあったとは😳まっすーお話上手だったよ〜←上から🤣

#ROOOTS に #ギフテッド にいつも #ソレダメ さんありがとうございます🎶",2024-01-24 12:08:41+00:00,1298203997061316608,0,0,57,0,0,2009
1750127864874430768,"エンディングのギフテッド嬉しい😊
まっすー名前のROOOTSって使ってもらえたり、ほんと優しいソレダメさん😊
#ソレダメ
#増田貴久",2024-01-24 12:06:13+00:00,1258571035713998848,0,0,0,0,0,17
1750127593461072216,"今日もソレダメ楽しかった❗️
餃子とシュウマイ食べたくなった❗️
まっすーの名前のお話、知れて嬉しい❗️
♪ギフテッド、ありがとうございます❗️😊
#増田貴久
 #ソレダメ",2024-01-24 12:05:08+00:00,254788217,0,0,0,0,0,1
1750127018711359748,"#ソレダメ   最後にギフテッド、かけてくれたね～🎵
いつもありがとうございます✨
まっすーのピンク髪、衣装も合っててとてもかわいらしかったな🎵",2024-01-24 12:02:51+00:00,1428513867034812418,0,0,7,0,0,84
1750126997840576792,"名前のルーツのエピソードの時にROOOTSかけてくれてエンディングではギフテッド流してくれるソレダメ
いつも変わらず愛があって大好き🥺❤️",2024-01-24 12:02:46+00:00,152927133,2,0,16,0,0,944
1750126877677916315,"ラストに #ギフテッド  流してもらった！
ありがとうございます！
#ソレダメ
#増田貴久",2024-01-24 12:02:18+00:00,1408999691367325697,0,0,0,0,0,5
1750126781825503538,"#ギフテッド
かけてくれた✨ありがとうございます！
#ソレダメ　#増田貴久",2024-01-24 12:01:55+00:00,833781965480275968,0,0,1,0,0,58
1750126644919243053,"ギフテッドありがとうございます😊
#ソレダメ",2024-01-24 12:01:22+00:00,1140131096417300486,0,0,0,0,0,64
1750126640137744544,"歯磨きのコップにギフテッド流してくれたの…何かにかかってた？普通にかけただけ？
君が君でいることがそうギフトなんだから？🪥",2024-01-24 12:01:21+00:00,920894460350758914,0,0,0,0,0,34
